import time: self [us] | cumulative | imported package
import time:        79 |         79 |                       msvcrt
import time:      1573 |       4614 |                     subprocess
import time:      6025 |       6025 |                       _ssl
import time:      4274 |      10298 |                     ssl
import time:      1971 |       1971 |                     asyncio.constants
import time:      2402 |       2402 |                     asyncio.coroutines
import time:      1586 |       1586 |                       contextvars
import time:      3447 |       3447 |                       asyncio.format_helpers
import time:      2118 |       2118 |                         asyncio.base_futures
import time:      1641 |       1641 |                         asyncio.exceptions
import time:      2059 |       2059 |                         asyncio.base_tasks
import time:      2332 |       8148 |                       _asyncio
import time:      8332 |      21512 |                     asyncio.events
import time:      6161 |       6161 |                     asyncio.futures
import time:      2084 |       2084 |                     asyncio.protocols
import time:      3610 |       3610 |                       asyncio.transports
import time:      1208 |       1208 |                       asyncio.log
import time:     10352 |      15169 |                     asyncio.sslproto
import time:      1257 |       1257 |                         asyncio.mixins
import time:      7341 |       8597 |                       asyncio.locks
import time:       147 |        147 |                         math
import time:      3929 |       3929 |                         asyncio.queues
import time:      4336 |       4336 |                         asyncio.timeouts
import time:     13467 |      21877 |                       asyncio.tasks
import time:      2749 |      33223 |                     asyncio.staggered
import time:      2969 |       2969 |                     asyncio.trsock
import time:     34668 |     167730 |                   asyncio.base_events
import time:      5765 |       5765 |                   asyncio.graph
import time:      3224 |       3224 |                   asyncio.runners
import time:      9400 |       9400 |                   asyncio.streams
import time:      4657 |       4657 |                   asyncio.subprocess
import time:      3927 |       3927 |                   asyncio.taskgroups
import time:      2179 |       2179 |                   asyncio.threads
import time:      2383 |       2383 |                     _overlapped
import time:      8171 |       8171 |                     asyncio.base_subprocess
import time:     13355 |      13355 |                     asyncio.proactor_events
import time:      1481 |       1481 |                         select
import time:      1313 |       2794 |                       selectors
import time:     18365 |      21159 |                     asyncio.selector_events
import time:        70 |         70 |                             _bisect
import time:       539 |        609 |                           bisect
import time:        55 |         55 |                           _random
import time:      1008 |       1672 |                         random
import time:      1156 |       2827 |                       tempfile
import time:      3813 |       6640 |                     asyncio.windows_utils
import time:     12088 |      63794 |                   asyncio.windows_events
import time:      2317 |     262989 |                 asyncio
import time:      2559 |       2559 |                   greenlet._greenlet
import time:      1412 |       3971 |                 greenlet
import time:      4271 |       4271 |                   sqlalchemy.util.langhelpers
import time:       931 |       5202 |                 sqlalchemy.util._concurrency_py3k
import time:       824 |     272984 |               sqlalchemy.util.concurrency
import time:       898 |        898 |               sqlalchemy.util.deprecations
import time:      1774 |     473231 |             sqlalchemy.util
import time:      1642 |       1642 |                               sqlalchemy.event.registry
import time:       750 |       2392 |                             sqlalchemy.event.legacy
import time:      1581 |       3973 |                           sqlalchemy.event.attr
import time:      1182 |       5154 |                         sqlalchemy.event.base
import time:       730 |       5884 |                       sqlalchemy.event.api
import time:       541 |       6425 |                     sqlalchemy.event
import time:       947 |        947 |                           sqlalchemy.log
import time:      4307 |       5253 |                         sqlalchemy.pool.base
import time:      1836 |       7088 |                       sqlalchemy.pool.events
import time:      1183 |       1183 |                         sqlalchemy.util.queue
import time:      1415 |       2598 |                       sqlalchemy.pool.impl
import time:       885 |      10570 |                     sqlalchemy.pool
import time:      2365 |       2365 |                           sqlalchemy.sql.roles
import time:      1635 |       1635 |                           sqlalchemy.inspection
import time:      4319 |       8318 |                         sqlalchemy.sql._typing
import time:      2969 |       2969 |                           sqlalchemy.sql.visitors
import time:      2904 |       2904 |                           sqlalchemy.sql.cache_key
import time:      5361 |       5361 |                             sqlalchemy.sql.operators
import time:      2775 |       8135 |                           sqlalchemy.sql.traversals
import time:      6757 |      20764 |                         sqlalchemy.sql.base
import time:      1206 |       1206 |                             numbers
import time:      3497 |       4703 |                           sqlalchemy.sql.coercions
import time:      2608 |       2608 |                                 sqlalchemy.sql.annotation
import time:      2116 |       2116 |                                       _decimal
import time:       665 |       2781 |                                     decimal
import time:      3937 |       3937 |                                     sqlalchemy.sql.type_api
import time:      8911 |      15628 |                                   sqlalchemy.sql.elements
import time:       861 |        861 |                                   sqlalchemy.util.topological
import time:      3537 |      20025 |                                 sqlalchemy.sql.ddl
import time:       792 |        792 |                                         _compat_pickle
import time:       217 |        217 |                                         _pickle
import time:      1648 |       2657 |                                       pickle
import time:       702 |        702 |                                         sqlalchemy.engine._py_processors
import time:       595 |       1296 |                                       sqlalchemy.engine.processors
import time:      5285 |       9237 |                                     sqlalchemy.sql.sqltypes
import time:     18795 |      28032 |                                   sqlalchemy.sql.selectable
import time:      7134 |      35165 |                                 sqlalchemy.sql.schema
import time:      1921 |      59718 |                               sqlalchemy.sql.util
import time:      4691 |      64408 |                             sqlalchemy.sql.dml
import time:      2895 |      67303 |                           sqlalchemy.sql.crud
import time:      6075 |       6075 |                           sqlalchemy.sql.functions
import time:      9484 |      87564 |                         sqlalchemy.sql.compiler
import time:       506 |        506 |                           sqlalchemy.sql._dml_constructors
import time:      1155 |       1155 |                           sqlalchemy.sql._elements_constructors
import time:      1319 |       1319 |                           sqlalchemy.sql._selectable_constructors
import time:      2000 |       2000 |                           sqlalchemy.sql.lambdas
import time:      1203 |       6182 |                         sqlalchemy.sql.expression
import time:      1385 |       1385 |                           sqlalchemy.sql.events
import time:      1171 |       2556 |                         sqlalchemy.sql.naming
import time:       974 |        974 |                         sqlalchemy.sql.default_comparator
import time:      9411 |     135767 |                       sqlalchemy.sql
import time:        41 |     135808 |                     sqlalchemy.sql.compiler
import time:      5459 |     158261 |                   sqlalchemy.engine.interfaces
import time:      1066 |       1066 |                   sqlalchemy.engine.util
import time:      1945 |     161272 |                 sqlalchemy.engine.base
import time:      2871 |     164142 |               sqlalchemy.engine.events
import time:       580 |        580 |                     urllib
import time:      2327 |       2327 |                     ipaddress
import time:      2044 |       4951 |                   urllib.parse
import time:       787 |        787 |                   sqlalchemy.dialects
import time:      1761 |       7498 |                 sqlalchemy.engine.url
import time:      1373 |       1373 |                 sqlalchemy.engine.mock
import time:      2220 |      11090 |               sqlalchemy.engine.create
import time:      1832 |       1832 |                   sqlalchemy.engine.row
import time:      3897 |       5728 |                 sqlalchemy.engine.result
